,tweet_id,text,rating_numerator,rating_denominator,name,favorites,retweets,jpg_url,img_num,p1,p1_dog
1,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,32517,6097,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,True
2,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,24482,4038,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,True
4,891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,39375,9103,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,basset,True
6,890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,11571,1998,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,True
8,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,27204,4151,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_terrier,True
9,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,31188,7168,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,True
10,890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13,10,Koda,29980,7123,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,True
11,889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13,10,Bruno,27192,4835,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French_bulldog,True
13,889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12,10,Ted,26524,4400,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French_bulldog,True
14,889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13,10,Stuart,14778,2187,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,golden_retriever,True
15,889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13,10,Oliver,24665,5212,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,whippet,True
16,888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12,10,Jim,28478,4377,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,golden_retriever,True
17,888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13,10,Zeke,24992,4161,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,golden_retriever,True
18,888554962724278272,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13,10,Ralphus,19385,3440,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian_husky,True
19,888078434458587136,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,12,10,Gerald,21273,3393,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,French_bulldog,True
20,887705289381826560,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,13,10,Jeffrey,29515,5238,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,basset,True
22,887473957103951883,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,13,10,Canela,67445,17661,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2,Pembroke,True
25,886983233522544640,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,13,10,Maya,34350,7555,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2,Chihuahua,True
26,886736880519319552,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",13,10,Mingus,11793,3183,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1,kuvasz,True
28,886366144734445568,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,12,10,Roscoe,20722,3111,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,1,French_bulldog,True
30,886258384151887873,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,13,10,Waffles,27369,6119,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,1,pug,True
32,885984800019947520,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,12,10,Jimbo,31908,6578,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,1,Blenheim_spaniel,True
33,885528943205470208,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,13,10,Maisey,35171,6248,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,1,pug,True
37,884925521741709313,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",12,10,Earl,75670,17750,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,1,Italian_greyhound,True
38,884876753390489601,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,13,10,Lola,27291,5457,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,1,chow,True
39,884562892145688576,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,13,10,Kevin,23753,4560,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,1,pug,True
42,884162670584377345,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,12,10,Yogi,19894,2898,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,1,German_shepherd,True
43,883838122936631299,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,12,10,Noah,21412,3358,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,1,Doberman,True
44,883360690899218434,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP,13,10,Grizzwald,22182,3603,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,1,chow,True
46,882992080364220416,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy https://t.co/tyER0KpdXj,13,10,Rusty,23424,3816,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,1,Eskimo_dog,True
47,882762694511734784,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu,12,10,Gus,27659,4772,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,1,Labrador_retriever,True
